Accession_ID	Mg_blues (µg/g DW)	Latitude	Longitude	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	awc	bulk_density	CaCO3	CEC	clay	CN	coarse_fragments	K	N	P	ph	sand	silt	srad_mean	ai	Mg(Soil) mg/kg
1552	5342.170373	63.0833	18.3667	3.033333302	7.933333397	26.62192345	788.6130981	19.5	-10.30000019	29.79999924	3.183333397	1.666666627	13.35000038	-6.066666603	718	86	36	28.82222176	239	123	204	152	0.087559715	1.046444654	0	12.62069511	7.197326183	26.01202011	11.26034737	150.3669281	2.239280701	25.72888947	4.545143127	67.78623962	25.01643372	8956.666992	1.14199996	32
1829	5137.818134	42.051	-86.509	9.545833588	9.491666794	26.6619854	962.1317749	27.70000076	-7.900000095	35.60000229	20.46666718	-1.350000024	21.21666718	-2.566666603	949	98	42	21.14732552	279	162	274	175	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13089.75	0.846000016	NA
1853	5464.00741	43.595	-86.2657	7.595833302	10.8083334	29.21171188	979.6902466	27	-10	37	15.05000019	-3.850000143	19.31666565	-4.666666985	863	107	38	25.439291	283	152	229	163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12754.83301	0.842100024	NA
1872	5027.540284	43.595	-86.2657	7.595833302	10.8083334	29.21171188	979.6902466	27	-10	37	15.05000019	-3.850000143	19.31666565	-4.666666985	863	107	38	25.439291	283	152	229	163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12754.83301	0.842100024	NA
1890	5241.019672	43.5139	-86.1859	7.849999905	11.05000019	30.027174	965.6463013	27.10000038	-9.699999809	36.79999924	15.0666666	-3.366666555	19.43333435	-4.233333111	848	105	37	25.22410583	275	151	223	163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12811.66699	0.821200013	NA
1925	4780.951496	43.5251	-86.1843	7.800000191	11.08333302	29.95495415	969.9273682	27.20000076	-9.800000191	37	15.05000019	-3.466666698	19.45000076	-4.333333015	849	106	37	25.27732086	275	151	223	163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12799.25	0.824500024	NA
1954	4458.023731	43.5187	-86.1739	7.787499905	11.09166622	30.05871582	966.4088135	27.10000038	-9.800000191	36.90000153	15	-3.433333158	19.38333321	-4.316666603	848	104	37	25.04099655	275	150	225	163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12828.5	0.824899971	NA
2016	4002.817417	43.5356	-86.1788	7.779166698	11.10833359	29.86111259	974.6338501	27.29999924	-9.899999619	37.19999695	15.05000019	-3.533333302	19.48333359	-4.433333397	852	105	37	25.22346878	277	151	226	163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12791.75	0.829699993	NA
2171	5238.50253	42.148	-86.431	9.508333206	9.633333206	27.13614845	961.0217896	27.70000076	-7.800000191	35.5	20.38333321	-1.366666675	21.18333435	-2.599999905	934	100	41	21.70871353	279	158	268	172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13044.66699	0.824800014	NA
2202	4497.05159	43.7623	-86.3929	7.741666794	10.21666718	28.37962914	956.7792358	26.60000038	-9.399999619	36	15.28333378	-3.549999952	19.21666718	-4.116666794	846	103	37	26.01890755	281	146	229	158	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12802.91699	0.830600023	NA
2276	4783.609069	43.665	-86.496	7.841666698	9.900000572	27.65363121	959.1351318	26.60000038	-9.199999809	35.79999924	15.4333334	-3.416666746	19.39999962	-3.983333349	852	103	37	25.272089	278	149	228	157	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12729.58301	0.830900013	NA
2278	5067.725873	43.665	-86.496	7.841666698	9.900000572	27.65363121	959.1351318	26.60000038	-9.199999809	35.79999924	15.4333334	-3.416666746	19.39999962	-3.983333349	852	103	37	25.272089	278	149	228	157	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12729.58301	0.830900013	NA
2317	4259.389731	42.03	-86.514	9.600000381	9.616666794	26.78737259	965.6838989	27.89999962	-8	35.90000153	20.51666641	-1.299999952	21.31666565	-2.583333254	952	99	42	21.21390533	280	163	275	175	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13062.83301	0.842000008	NA
4779	4412.419945	50.4	-4.9	10.39166641	5.75	36.85897446	371.1887207	19	3.400000095	15.60000038	7.233333111	13.5	15.16666603	6.333333015	1056	123	60	27.84159851	366	188	222	289	0.0967388	1.042926192	7.479747772	14.98484135	21.60126686	14.14374065	11.55328751	193.9339905	2.761478662	45.45023346	5.61194849	39.55083466	38.84790039	10587.83301	1.33949995	36
4807	5507.20134	50.4	-4.9	10.39166641	5.75	36.85897446	371.1887207	19	3.400000095	15.60000038	7.233333111	13.5	15.16666603	6.333333015	1056	123	60	27.84159851	366	188	222	289	0.0967388	1.042926192	7.479747772	14.98484135	21.60126686	14.14374065	11.55328751	193.9339905	2.761478662	45.45023346	5.61194849	39.55083466	38.84790039	10587.83301	1.33949995	36
4884	5304.425473	50.3	-4.9	10.77083302	5.825000286	37.8246727	363.9833984	19.20000076	3.799999952	15.40000057	7.699999809	13.8166666	15.44999981	6.766666412	991	119	56	28.42443848	346	176	203	273	0.098946236	1.010891914	0.10653837	16.29500771	25.10638809	11.42461491	23.26969528	251.9655304	2.081751823	63.08597565	6.237138271	34.63851929	40.25509262	10635.83301	1.265799999	37
4900	5286.407945	50.3	-4.8	10.78333378	5.599999905	36.84210587	361.3631592	19.10000038	3.900000095	15.20000076	7.766666412	13.80000019	15.4333334	6.816666603	975	121	57	29.41383553	345	177	193	264	0.098503195	1.026575446	33.17592621	15.0716877	21.68834496	10.954319	13.38559437	170.0667114	2.303491592	50.83631516	5.982152462	34.99355316	43.31809998	10688.83301	1.26760006	37
4958	3835.843287	50.5	-4.5	9.658333778	6.150000095	37.5	383.0133972	18.70000076	2.299999952	16.40000153	6.400000095	12.95000076	14.55000019	5.449999809	1152	139	67	28.28099251	403	208	234	366	0.105993129	0.963584721	11.43183613	11.15669632	26.74670982	9.80183506	24.74900055	204.885376	2.55812335	44.46256256	5.998438358	26.20877075	47.04451752	10566.83301	1.479799986	34
5104	4683.615542	51.3	0.5	10.32916641	7.758333206	37.66181183	485.6835022	22.20000076	1.600000024	20.60000038	5.699999809	6.550000191	16.54999924	4.800000191	613	65	38	18.8024292	191	124	138	164	0.091499723	1.343291163	141.5297699	24.21574211	27.55258942	11.13146782	18.41960526	220.9618225	2.326689482	39.21336746	7.609491825	38.69399261	33.75341797	9928	0.76700002	34
5151	4137.361825	52.2	-1.7	9.495833397	8.541666985	39.36251831	476.3757935	22.10000038	0.400000006	21.70000076	4.983333111	5.783333302	15.61666679	4.050000191	621	59	41	11.88361835	172	132	160	158	0.117844217	1.350302935	11.68261337	11.97515011	25.88082504	11.99206638	16.73054695	231.8455811	1.833458424	37.35913849	6.342755795	47.61467743	26.50450134	9706.083008	0.81309998	55
5165	4558.798956	51.3	0.4	10.07499981	7.733333111	37.90849686	477.8907166	21.79999924	1.399999976	20.39999962	5.533333302	6.333333492	16.18333244	4.633333206	635	68	41	19.00447845	200	132	140	174	0.10149911	1.358818889	70.52586365	25.29578781	24.2378521	10.32834053	13.06570053	261.9714355	2.91869235	52.03345108	7.019269943	26.03903961	49.72310638	9942.75	0.810599983	34
5210	4465.933959	51.2	0.3	10.14166641	7.75	37.99019623	473.203949	21.79999924	1.399999976	20.39999962	5.683333397	6.383333206	16.16666603	4.75	686	75	43	21.99001503	221	141	144	192	0.099518903	1.155023813	23.52748108	20.02464104	27.30315018	11.04573059	23.97092438	271.6626587	2.488820076	54.34489441	6.88061142	34.52474213	38.1721077	9939.083008	0.87650001	34
5236	4586.636971	51.2	0.4	10.19583321	7.908333302	38.20450974	477.9570923	22.10000038	1.399999976	20.70000076	5.666666508	6.449999809	16.28333282	4.716666698	669	73	42	21.67440033	215	138	141	186	0.096163169	1.243729711	32.60712433	17.56606483	21.60476303	9.523988724	16.99503136	236.647171	1.803288698	44.5043869	6.90551281	34.85578156	43.53945541	9968.083008	0.862500012	34
5253	4432.030961	51.1	0.6	9.891666412	7.366666317	36.83333206	475.6136169	21.29999924	1.299999952	20	7.583333492	11.3166666	15.91666603	4.449999809	739	82	46	24.77712822	243	146	151	207	0.097122744	1.069815397	0	16.94691467	19.83865929	18.11048508	13.68975163	214.7557373	1.587376356	13.32993507	5.137814045	27.58625793	52.57508087	10063	0.969099998	34
5276	5924.87374	51.3	1.1	10.28333378	7.200000286	36.18090439	479.6747742	21.60000038	1.700000048	19.89999962	11.05000019	6.483333111	16.35000038	4.849999905	597	66	35	20.3238945	189	119	135	148	0.088796027	1.180930495	51.10625458	17.74884605	20.87992096	10.45697212	12.06621742	234.9220428	1.941356301	50.45359039	7.282405853	43.69742203	35.4226532	10072.08301	0.756299973	39
5349	5658.329464	51.1	0.4	9.916666985	7.566666603	37.64510727	468.79599	21.39999962	1.299999952	20.10000038	5.516666889	14.1833334	15.88333321	4.566666603	777	87	46	25.74650192	257	150	153	223	0.092696622	1.155851364	15.2138195	16.95636177	17.05481529	12.39321423	13.37088013	250.4067841	1.560422659	36.27475357	6.070944786	32.17354584	50.77163696	9997.583008	0.99059999	34
