Mg(Leaf)	latitude	longitude	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	wind	srad	ai	awc	bulk_density	clay	coarse_frag	texture_usda	sand	silt	pH	CN	CEC	CaCO3	N	P	K	Mg(Soil)
5023.900738	47.16	4.28	9	7.866666317	32.37311554	610.2830811	22.79999924	-1.5	24.29999924	2.683333397	4.800000191	16.63333321	1.649999976	893	86	60	12.06634235	241	190	225	222	3.616666555	11895	0.997200012	0.110948808	0.93811208	27.96212578	19.91443634	8	29.13497162	42.9029007	5.751458168	11.74128246	10.41371536	8.932945251	2.311327219	38.57083893	130.1975555	33
5020.530982	46.37	11.28	10.8708334	9.858333588	33.08165359	754.6445923	26.70000076	-3.099999905	29.80000114	20.18333435	3.5	20.18333435	1.666666627	770	92	31	32.76743698	255	112	255	112	1.049999952	12462.16699	0.778199971	0.112557448	1.100145459	24.39643097	30.96445847	9	35.08943176	40.51413727	6.350336075	14.08211803	30.53141785	15.20370865	2.971410513	28.02788544	151.5265198	52
5017.5183	37.09	-3.38	4.599999905	11.64999962	34.06432724	775.7664795	25.60000038	-8.600000381	34.20000076	-2.666666746	14.66666698	14.86666679	-4.016666889	932	118	14	49.5668869	346	69	75	340	4.491666794	17288	0.738600016	0.107609145	1.247799516	25.61777306	37.42047119	6	29.79642487	44.58580017	6.285841465	13.20199013	16.07577324	52.34431839	5.987882614	27.1437664	201.9199677	46
5014.89406	46.34	11.29	11.25	9.366666794	31.53759766	767.673584	27	-2.700000048	29.70000076	16.60000038	1.733333349	20.61666679	1.733333349	828	101	35	30.11419296	261	126	260	126	1	12410.33301	0.850300014	0.099276863	1.12125814	17.42496681	31.13807106	9	42.32978058	40.24525452	6.699357033	12.37959957	18.19266319	105.2798996	1.97694838	30.12436295	168.2213898	52
5012.645178	41.81	2.49	12.77499962	9.149999619	37.04453278	560.2089844	26.10000038	1.399999976	24.70000076	13.69999981	7.083333492	20.01666641	6.466666698	787	86	39	21.60785675	241	162	190	170	3.283333302	14796.66699	0.631699979	0.112994693	0.995443344	25.0011673	16.92326355	9	33.07231903	41.92651367	6.407374382	13.15734386	14.48812962	61.06845474	2.917622805	10.17033577	235.9846649	46
5012.418358	55.9419	13.5603	7.254166603	7.058333397	29.53277588	638.7432861	20.79999924	-3.099999905	23.89999962	4.066666603	6.016666412	15.39999962	-0.199999988	784	82	45	20.07536125	240	150	197	201	2.933333397	9801.083008	1.074300051	0.07047905	1.15469861	8.764988899	11.32156372	12	68.93699646	22.29801178	5.453839302	13.66734314	9.766885757	2.363490582	2.805176258	38.5083847	63.32040405	36
5007.252625	42.31	-2.53	11.34583378	10.89166641	40.33950424	585.0930786	27	0	27	12.9333334	18.81666565	18.81666565	4.599999905	459	58	23	27.57173347	156	81	81	114	3.116666794	14069.33301	0.378500015	0.090288244	1.04667449	19.91277122	11.86540604	9	37.5776062	42.50962067	8.016591072	11.24529362	17.56326866	332.3039246	1.514916301	17.75994301	252.5854187	30
5007.204678	40.79	-4.05	6.841666698	7.116666794	29.40771294	626.1274414	21.60000038	-2.599999905	24.20000076	1.350000143	15.3166666	15.3166666	0.383333385	1169	161	24	46.0205574	442	112	112	380	3.283333302	15483.25	1.006700039	0.106124669	1.106459856	16.12256813	31.95362473	12	42.17842102	41.69901276	6.204164028	13.07904243	18.48033905	27.4569416	2.630285978	25.50877953	133.9356995	60
5003.40267	55.7936	13.1233	8.125	6.599999905	28.20512962	644.196106	21.29999924	-2.099999905	23.39999962	8.850000381	2.966666698	16.26666641	0.600000024	631	66	32	20.78868484	192	116	170	143	3.891666651	9889.666992	0.807299972	0.075002268	1.510185242	8.339653015	6.717054844	12	76.34837341	15.31197357	6.042680264	13.12429047	7.119586945	0.9170627	1.830181479	49.76428223	148.1233673	34
5000.070166	51.4083	-0.6383	10.17083359	7.791666985	38.00812912	472.0769348	22	1.5	20.5	7.75	6.483333111	16.26666641	4.816666603	677	69	42	16.66335487	204	146	148	181	3.75	9823.5	0.812300026	0.08091706	1.046375036	11.81113148	13.71320057	9	62.60864639	25.58022308	5.772104263	13.71587467	13.94948959	0	2.615069866	26.49323273	188.6947632	31
4998.769263	42.34	1.3	8.600000381	10.10000038	37.26937103	613.4403687	24.10000038	-3	27.10000038	9.783333778	2.400000095	16.64999962	1.816666722	926	104	60	18.29536819	271	187	217	199	4.258333206	15075.58301	0.728999972	0.126510918	0.991009712	26.11132622	22.67240524	9	32.87244415	41.01622772	5.963938713	14.76250744	21.94853401	62.00696182	2.510359287	29.15401268	158.3264008	32
4996.915725	48.5	9.11	8.691666603	9.033333778	33.9598999	666.6361694	23.5	-3.099999905	26.60000038	15.39999962	1.800000072	17	0.616666675	737	96	38	28.49214172	260	126	247	133	2.458333254	11096.66699	0.872500002	0.106931448	1.322521925	26.04022408	10.29164982	3	22.314888	51.64488983	7.273923874	9.628358841	19.02604103	39.9860878	2.185379744	38.23335266	264.8216553	44
4996.734443	47.9299	10.8134	7.483333588	8.216666222	32.09635544	665.0267944	21.29999924	-4.300000191	25.59999847	15.75	0.516666591	15.75	-0.51666671	1107	142	57	32.3922081	410	183	410	189	2.950000048	11453.16699	1.307700038	0.09792988	1.347379804	23.39423752	13.78957748	9	29.99035645	46.61540604	5.443564415	9.716832161	18.74365616	1.354050875	2.704561472	33.93424225	119.2729111	50
4994.169665	55.9319	13.5508	7.391666889	7	29.16666603	640.6702271	21	-3	24	4.25	6.116666794	15.5666666	-0.066666663	767	80	45	19.79771042	234	147	195	195	2.900000095	9795.666992	1.042899966	0.073014162	1.137714148	8.755541801	8.406703949	12	74.96966553	16.27479553	5.696081638	13.75152397	8.214485168	5.642708302	1.997355342	45.22104645	102.3244019	36
4992.489969	55.7	13.2	8.316666603	6.400000095	27.23404121	650.5988159	21.60000038	-1.899999976	23.5	8.933333397	3.133333445	16.60000038	0.76666671	615	64	31	20.80802155	187	112	166	140	3.875	9849.5	0.763000011	0.068300799	1.507487178	9.143152237	8.687058449	12	69.39739227	21.4594574	5.973516464	15.45495319	9.803943634	6.839525223	2.147694588	33.34064102	156.4263	34
4985.995021	62.96	18.2844	3.099999905	7.800000191	26.1744957	789.8848877	19.5	-10.30000019	29.79999924	3.333333254	1.683333278	13.4333334	-6.050000191	750	91	38	28.18293762	251	130	208	161	3.883333206	8993.833008	1.18659997	0.073557734	1.193942547	6.170241833	11.41153145	12	71.46986389	22.3598938	4.669244289	23.33154106	13.30254269	0	5.006405354	26.72927666	173.4642639	36
4983.802501	46.34	11.29	11.25	9.366666794	31.53759766	767.673584	27	-2.700000048	29.70000076	16.60000038	1.733333349	20.61666679	1.733333349	828	101	35	30.11419296	261	126	260	126	1	12410.33301	0.850300014	0.099276863	1.12125814	17.42496681	31.13807106	9	42.32978058	40.24525452	6.699357033	12.37959957	18.19266319	105.2798996	1.97694838	30.12436295	168.2213898	52
4983.411579	42.86	-3.59	11.02499962	10.23333359	41.26343918	533.7666016	25.5	0.699999988	24.79999924	5.716666698	17.95000076	17.95000076	5	777	84	39	25.74650192	242	131	131	221	2.650000095	13497.91699	0.677999973	0.119707994	1.056846261	18.72505951	21.0471611	9	49.81079865	31.46414185	6.409295082	14.02498436	15.26115227	138.9007721	3.707595348	17.58633232	173.4790955	35
4982.131031	47.5	1.5	11.28333378	9.866666794	39.62516785	577.0274048	25.60000038	0.699999988	24.89999962	7.816666603	18.54999924	18.54999924	4.366666317	667	66	48	11.36530399	184	145	145	173	3.775000095	11829.75	0.646700025	0.076767817	1.330223799	15.63064671	6.134698868	9	50.30057907	34.06877136	5.270358562	15.62282944	10.60352421	32.9838028	1.782528758	16.31694412	106.3077545	26
4980.068176	42.46	0.7	9.162500381	10.72500038	38.57913589	609.8737793	25.10000038	-2.700000048	27.80000114	6.233333111	2.966666698	17.20000076	2.366666555	1006	106	60	17.29407692	286	212	227	230	3.950000048	14862.75	0.774299979	0.121553086	1.028331041	22.30227852	14.89537239	9	44.57026672	33.12745667	6.392576694	14.80003929	20.52824593	49.91182327	3.750895977	11.48394775	216.613678	48
4978.251052	37.6	23.08	15.5583334	9.850000381	35.8181839	668.6989746	31.29999924	3.799999952	27.5	9.483333588	24.14999962	24.14999962	8.016666412	577	97	10	64.72156525	259	35	35	245	3.725000143	15187.41699	0.371100008	0.126109108	0.956219614	30.31582642	19.31506729	6	25.72827148	43.9559021	7.790647507	11.25884151	29.38248825	153.2904968	1.738295197	9.264162064	341.7832031	53
4977.882142	55.7	13.2	8.316666603	6.400000095	27.23404121	650.5988159	21.60000038	-1.899999976	23.5	8.933333397	3.133333445	16.60000038	0.76666671	615	64	31	20.80802155	187	112	166	140	3.875	9849.5	0.763000011	0.068300799	1.507487178	9.143152237	8.687058449	12	69.39739227	21.4594574	5.973516464	15.45495319	9.803943634	6.839525223	2.147694588	33.34064102	156.4263	34
4976.559576	46.37	11.28	10.8708334	9.858333588	33.08165359	754.6445923	26.70000076	-3.099999905	29.80000114	20.18333435	3.5	20.18333435	1.666666627	770	92	31	32.76743698	255	112	255	112	1.049999952	12462.16699	0.778199971	0.112557448	1.100145459	24.39643097	30.96445847	9	35.08943176	40.51413727	6.350336075	14.08211803	30.53141785	15.20370865	2.971410513	28.02788544	151.5265198	52
4972.636562	39.27	16.27	14.97500038	7.099999905	31.27753258	580.8986206	27.79999924	5.099999905	22.69999886	12.60000038	22.21666718	22.31666565	8.300000191	943	136	16	56.78504181	398	65	96	355	2.691666603	15235.25	0.723200023	0.102288485	1.050442815	19.23233223	11.22181606	9	44.05861664	36.70905304	6.278150558	11.52574539	11.16372108	22.05873489	2.007683039	5.223279476	267.3043213	41
4972.102088	42.52	-0.56	10.47916698	9.991666794	37.42197418	600.8609619	26.29999924	-0.400000006	26.69999886	7.283333302	18.33333397	18.33333397	3.766666651	758	81	36	21.51073647	227	140	140	203	4.058333397	14663	0.545899987	0.119696207	1.338630438	24.93262863	20.97293854	9	35.02781677	40.0395546	6.734340668	15.49265671	23.13479042	228.3212585	3.85603714	5.594468117	151.2473755	38
4971.372474	43.02	-5.6	7.466666698	8.333333015	34.15300369	584.9993286	21.89999962	-2.5	24.39999962	1.866666675	15.03333282	15.03333282	0.883333325	1079	125	46	29.69737053	358	163	163	337	4.291666508	13726.91699	1.022300005	0.125705868	0.986530721	27.40399933	31.56855011	9	28.22543335	44.37056732	5.921994686	14.67058277	11.88184166	28.30217361	4.962140083	21.23386765	194.4377289	43
4970.201059	38.44	16.13	15.38749981	6.474999905	30.68720436	544.4100952	26.89999962	5.800000191	21.09999847	10.73333359	22.03333282	22.23333359	9.149999619	910	127	19	52.89656448	365	69	111	342	2.808333397	15386.83301	0.666899979	0.108729556	1.420349956	14.32843399	15.96349335	9	56.46512604	29.20643616	6.380125999	11.96164036	14.26922226	5.188281059	2.503139019	26.28516769	505.4452515	44
4969.28794	55.7942	13.1222	8.125	6.599999905	28.20512962	644.196106	21.29999924	-2.099999905	23.39999962	8.850000381	2.966666698	16.26666641	0.600000024	631	66	32	20.78868484	192	116	170	143	3.891666651	9889.666992	0.807299972	0.075002268	1.510185242	8.339653015	6.717054844	12	76.34837341	15.31197357	6.042680264	13.12429047	7.119586945	0.9170627	1.830181479	49.76428223	148.1233673	34
4967.243677	50.8738	8.02341	8.845833778	8.708333015	34.55687714	622.3286743	23	-2.200000048	25.20000076	2.450000048	12.10000038	16.71666718	1.433333397	952	103	62	14.52982521	284	214	231	266	3.266666651	9883.833008	1.155200005	0.091615774	1.429341793	21.88315392	11.94844246	9	43.13140869	34.98543549	6.257669926	13.99603271	13.39200401	56.05256271	1.719711185	31.31945419	166.5849304	38
4964.020659	56.1	13.74	7.099999905	7.349999905	30.24691391	640.6317749	20.89999962	-3.400000095	24.29999924	3.916666746	5.933333397	15.25	-0.400000006	767	79	44	20.25018501	232	145	193	198	2.799999952	9784.416992	1.068799973	0.075360775	1.109084964	11.74979401	14.68470764	12	52.87260437	35.37760162	5.626195908	13.63500118	12.86776161	21.04700851	1.974118114	32.95039749	93.532547	33
4963.87185	52.1611	4.49015	9.770833015	6.891666889	33.13301468	515.2380981	21.29999924	0.5	20.79999924	10.6833334	8.550000191	16.13333321	3.716666698	840	95	48	23.42974854	276	158	205	201	5.349999905	9843.166992	1.125100017	0.059297707	1.442020655	17.04130554	10.67707253	9	58.58900452	24.36968994	6.279658794	15.11728191	12.95529938	65.97088623	1.875791788	27.46149254	136.9759674	48
