Accession_ID	Name	Country	Latitude	Longitude	CS_number	material	material_Country	Li7	Na23	Mg25	P31	S34	K39	Ca43	Mn55	Fe57	Co59	Cu65	Zn66	As75	Se82	Rb85	Sr88	Mo98	Cd114
9841	Ees-0	Spain	40.59	-4.15	CS76836	leaf	Spain_leaf	14.65460313	761.8072106	4210.334793	13784.90801	12698.96502	77442.87269	41321.84146	239.3656664	137.974608	4.111163137	6.977874921	100.0439575	0.857997725	78.30190568	420.2678572	66.23146882	1.728611964	2.347984684
9842	Ele-0	Spain	39.31	-3.89		leaf	Spain_leaf	15.16448227	794.593229	3367.972997	15638.82008	12809.20946	64481.47368	38687.56987	239.3995445	138.9291594	1.942873854	10.06453469	112.6430057	0.969264694	94.06645355	352.3784579	63.56735071	7.393340912	2.784548936
9843	Elp-0	Spain	40.53	-3.92	CS76840	leaf	Spain_leaf	14.7078608	695.9777575	3979.432236	14587.03952	14290.00191	72239.7003	40876.82427	235.7402314	142.1622324	2.277265434	9.413985064	104.8850834	0.965465522	80.57416956	429.6993983	66.03472593	5.235842371	2.873641958
9844	Esn-2	Spain	42.27	0.19	CS76846	leaf	Spain_leaf	14.51801361	909.944109	4950.327371	17055.1883	13385.18193	75121.03666	42095.19337	242.8842286	137.1466563	3.202030613	8.58088252	97.1066263	0.882936445	78.22214117	436.2194545	68.40761473	6.210352946	2.556543946
9845	Evs-0	Spain	40.48	-3.96	CS76848	leaf	Spain_leaf	14.76996294	1024.872402	3924.383116	13832.78554	13061.58139	71228.84211	37736.08606	240.5365981	138.0086969	2.269008295	8.212714844	97.41787301	0.990929891	75.66547993	395.3494661	61.20186906	1.576713863	2.840896259
9846	Ezc-2	Spain	42.31	-3.02	CS76849	leaf	Spain_leaf	16.60770941	957.9355792	4524.55909	16194.93164	13239.15516	64383.26742	40993.78948	229.0366995	138.3802615	2.285603425	7.822465578	89.47761081	1.149838102	89.10673319	400.2637767	64.17120079	9.247214357	2.778416253
9847	Fel-2	Spain	43.31	-5.7	CS76854	leaf	Spain_leaf	14.72154227	1334.246725	4370.706716	15225.42365	12756.40703	74342.64817	40472.37558	224.504945	137.8317704	2.093944768	7.836081411	94.27393218	1.017834728	69.14826074	444.5429778	65.56921508	4.562735929	2.702627261
9848	Glo-1	Spain	40.11	-5.77	CS76879	leaf	Spain_leaf	13.60461003	1668.715435	4416.918797	15059.98459	14656.21566	74916.62722	40871.0863	225.5696302	136.1057153	4.41651223	7.79101569	92.78757535	0.939294337	82.34854603	408.6494358	68.95730612	4.723591516	2.656085059
9849	Gud-3	Spain	40.65	-4.11	CS76895	leaf	Spain_leaf	15.91306031	1702.684967	5315.940725	14817.46176	11642.76693	54527.14727	45744.58385	232.053908	143.3655757	2.098497325	7.218666878	94.31645486	0.897558635	68.68041266	333.391285	73.01816034	14.53557478	2.172253711
9850	Hec-0	Spain	42.86	-0.7	CS76917	leaf	Spain_leaf	14.32774639	939.6181111	4554.7999	16115.43009	14919.87387	68872.12014	39730.13135	219.6091658	137.3540472	2.252363692	8.320950924	92.34744925	0.911701525	87.53491402	393.5111604	60.30019329	8.515773035	2.09302365
9851	Hue-3	Spain	42.96	-6.1	CS76942	leaf	Spain_leaf	14.49358652	914.4076466	4606.719204	16421.12563	13397.67566	72237.5669	42293.98594	225.8499187	141.3790724	1.575862311	8.089514915	90.75988678	0.923289897	73.71248993	400.9874816	67.54550299	5.843241913	2.497278512
